Year,State,NMFS Name,Pounds,Dollars,Collection,Confidentiality
2019,ALASKA,"CLAM, PACIFIC GEODUCK ","593,936","3,637,973",Commercial,Public
2019,ALASKA,"COD, PACIFIC ","463,723,847","118,593,170",Commercial,Public
2019,ALASKA,"CRAB, DUNGENESS ","7,691,846","22,849,296",Commercial,Public
2019,ALASKA,"CRAB, KING **","10,816,176","67,553,895",Commercial,Public
2019,ALASKA,"CRAB, SNOW ","27,260,061","82,266,758",Commercial,Public
2019,ALASKA,"CRAB, SOUTHERN TANNER ","3,194,274","11,320,543",Commercial,Public
2019,ALASKA,CRUSTACEANS **,"390,887","2,515,688",Commercial,Public
2019,ALASKA,"CUCUMBERS, SEA **","2,107,934","10,581,158",Commercial,Public
2019,ALASKA,FLATFISHES **,"43,967,421","7,810,176",Commercial,Public
2019,ALASKA,"FLOUNDER, ARROWTOOTH","71,126,607","7,188,365",Commercial,Public
2019,ALASKA,"HALIBUT, GREENLAND ","6,144,161","3,433,078",Commercial,Public
2019,ALASKA,"HALIBUT, PACIFIC ","23,072,282","92,636,079",Commercial,Public
2019,ALASKA,"HERRING, PACIFIC ","51,365,772","21,421,675",Commercial,Public
2019,ALASKA,LINGCOD ,"502,107","615,251",Commercial,Public
2019,ALASKA,"MACKEREL, ATKA ","127,271,755","44,452,646",Commercial,Public
2019,ALASKA,OCTOPUSES **,"773,117","400,940",Commercial,Public
2019,ALASKA,"POLLOCK, WALLEYE","3,352,595,189","387,601,104",Commercial,Public
2019,ALASKA,"ROCKFISH, PACIFIC OCEAN PERCH ","139,749,847","29,059,114",Commercial,Public
2019,ALASKA,"ROCKFISH, WIDOW ","32,957","4,539",Commercial,Public
2019,ALASKA,ROCKFISHES **,"38,115,392","9,067,277",Commercial,Public
2019,ALASKA,SABLEFISH ,"29,015,684","68,435,412",Commercial,Public
2019,ALASKA,"SALMON, CHINOOK ","3,367,551","13,818,327",Commercial,Public
2019,ALASKA,"SALMON, CHUM ","113,340,488","59,439,529",Commercial,Public
2019,ALASKA,"SALMON, COHO ","25,729,294","27,778,034",Commercial,Public
2019,ALASKA,"SALMON, PINK ","394,661,469","106,052,131",Commercial,Public
2019,ALASKA,"SALMON, SOCKEYE ","289,957,206","466,350,086",Commercial,Public
2019,ALASKA,SCULPINS **,"132,763","7,772",Commercial,Public
2019,ALASKA,"SHARK, DOGFISH, SPINY ","84,543","2,036",Commercial,Public
2019,ALASKA,"SHRIMPS, PENAEID **","1,945,021","3,444,995",Commercial,Public
2019,ALASKA,"SKATES, RAJIDAE (FAMILY) **","23,557,385","1,970,150",Commercial,Public
2019,ALASKA,"SOLE, BUTTER ","661,171","101,746",Commercial,Public
2019,ALASKA,"SOLE, DOVER ","53,534","5,350",Commercial,Public
2019,ALASKA,"SOLE, ENGLISH ","513,235","74,379",Commercial,Public
2019,ALASKA,"SOLE, FLATHEAD ","38,397,735","8,990,881",Commercial,Public
2019,ALASKA,"SOLE, REX ","5,397,837","1,504,836",Commercial,Public
2019,ALASKA,"SOLE, ROCK ","57,919,464","13,237,805",Commercial,Public
2019,ALASKA,"SOLE, SAND ","13,453","1,076",Commercial,Public
2019,ALASKA,"SOLE, YELLOWFIN ","275,828,133","59,693,786",Commercial,Public
2019,ALASKA,"URCHINS, SEA, STRONGYLOCENTROTUS (GENUS) **","255,024","184,066",Commercial,Public
2019,ALASKA,"VERTEBRATES, JAWED","62,478","9,679",Commercial,Public
2019,WASHINGTON,"ANCHOVY, NORTHERN",,,Commercial,Confidential
2019,WASHINGTON,"BUTTERCLAM, WASHINGTON",,,Commercial,Confidential
2019,WASHINGTON,"CLAM, MANILA",,,Commercial,Confidential
2019,WASHINGTON,"CLAM, PACIFIC LITTLENECK",,,Commercial,Confidential
2019,WASHINGTON,"CLAM, PACIFIC RAZOR","138,009","352,880",Commercial,Public
2019,WASHINGTON,"CLAM, PACIFIC, GAPER **",,,Commercial,Confidential
2019,WASHINGTON,CLAMS **,,,Commercial,Confidential
2019,WASHINGTON,"COCKLE, NUTTALL",,,Commercial,Confidential
2019,WASHINGTON,"COD, PACIFIC","229,501","135,206",Commercial,Public
2019,WASHINGTON,"CRAB, DUNGENESS","21,191,248","85,014,968",Commercial,Public
2019,WASHINGTON,"CRAB, RED ROCK",,,Commercial,Confidential
2019,WASHINGTON,"CUCUMBERS, SEA **","486,780","2,408,289",Commercial,Public
2019,WASHINGTON,FLATFISHES **,882,126,Commercial,Public
2019,WASHINGTON,"FLOUNDER, ARROWTOOTH","27,999","3,884",Commercial,Public
2019,WASHINGTON,"FLOUNDER, PACIFIC, SANDDAB **","1,102",248,Commercial,Public
2019,WASHINGTON,"FLOUNDER, STARRY",,,Commercial,Confidential
2019,WASHINGTON,"GENEROSA, PANOPEA","4,368,895","42,301,184",Commercial,Public
2019,WASHINGTON,HAGFISHES **,,,Commercial,Confidential
2019,WASHINGTON,"HAKE, PACIFIC (WHITING)","104,540,876","7,904,263",Commercial,Public
2019,WASHINGTON,"HALIBUT, PACIFIC","1,114,215","3,696,189",Commercial,Public
2019,WASHINGTON,"HERRING, PACIFIC","480,166","173,290",Commercial,Public
2019,WASHINGTON,JACK MACKEREL,,,Commercial,Confidential
2019,WASHINGTON,LINGCOD,"119,270","129,008",Commercial,Public
2019,WASHINGTON,"MACKEREL, CHUB",,,Commercial,Confidential
2019,WASHINGTON,"MUSSEL, CALIFORNIA",,,Commercial,Confidential
